"CountryCode","SeriesCode","Year","DESCRIPTION",
"BFA","DT.DFR.DPPG.CD","YR2006","Data include the effects of MDRI.  ",
"BFA","DT.DOD.DECT.CD","YR2006","Data include the effects of MDRI.  ",
"BFA","BX.PEF.TOTL.CD.DT","YR2012","Gap-filled with countries' balance of payments statistics.",
"BFA","BM.GSR.TOTL.CD","YR2011","Gap-filled with countries' balance of payments statistics.",
"BFA","BN.CAB.XOKA.CD","YR2012","Gap-filled with countries' balance of payments statistics.",
"BFA","BX.PEF.TOTL.CD.DT","YR2011","Gap-filled with countries' balance of payments statistics.",
"BFA","BN.CAB.XOKA.CD","YR2011","Gap-filled with countries' balance of payments statistics.",
"BFA","BX.GSR.TOTL.CD","YR2011","Gap-filled with countries' balance of payments statistics.",
"BFA","BM.GSR.TOTL.CD","YR2012","Gap-filled with countries' balance of payments statistics.",
"BFA","BX.GSR.TOTL.CD","YR2012","Gap-filled with countries' balance of payments statistics.",
"BGD","BX.KLT.DINV.CD.DT","YR1972","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BGD","BX.KLT.DINV.CD.DT","YR1973","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BGD","BX.KLT.DINV.CD.DT","YR1974","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BGD","BX.KLT.DINV.CD.DT","YR1975","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BGD","BX.KLT.DINV.CD.DT","YR1976","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BGD","BX.KLT.DINV.CD.DT","YR1977","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BGD","BX.KLT.DINV.CD.DT","YR1978","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BGD","BX.KLT.DINV.CD.DT","YR1979","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BGD","BX.KLT.DINV.CD.DT","YR1980","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BGD","BX.KLT.DINV.CD.DT","YR1981","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BGD","BX.KLT.DINV.CD.DT","YR1982","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BGD","BX.KLT.DINV.CD.DT","YR1985","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BLR","BX.KLT.DINV.CD.DT","YR1992","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BLZ","BX.KLT.DINV.CD.DT","YR1970","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BLZ","BX.KLT.DINV.CD.DT","YR1971","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BLZ","BX.KLT.DINV.CD.DT","YR1978","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BLZ","BX.KLT.DINV.CD.DT","YR1979","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BLZ","BX.KLT.DINV.CD.DT","YR1981","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BOL","BX.KLT.DINV.CD.DT","YR1970","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BOL","BX.KLT.DINV.CD.DT","YR1971","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BOL","BX.KLT.DINV.CD.DT","YR1972","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BOL","BX.KLT.DINV.CD.DT","YR1973","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BOL","BX.KLT.DINV.CD.DT","YR1974","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BOL","BX.KLT.DINV.CD.DT","YR1975","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BOL","DT.DFR.DPPG.CD","YR2006","Data include the effects of MDRI.  ",
"BOL","DT.DFR.DPPG.CD","YR2007","Data include the effects of MDRI.  ",
"BOL","DT.DOD.DECT.CD","YR2006","Data include the effects of MDRI.  ",
"BOL","DT.DOD.DECT.CD","YR2007","Data include the effects of MDRI.  ",
"BOL","BX.KLT.DINV.CD.DT","YR2009","Country data.",
"BOL","BN.CAB.XOKA.CD","YR2013","Gap-filled with countries' balance of payments statistics.",
"BTN","BX.KLT.DINV.CD.DT","YR2003","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BTN","BX.KLT.DINV.CD.DT","YR2004","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BTN","BX.KLT.DINV.CD.DT","YR2005","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BTN","BX.KLT.DINV.CD.DT","YR2006","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BTN","BX.KLT.DINV.CD.DT","YR2007","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BTN","BX.KLT.DINV.CD.DT","YR2008","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BTN","BX.KLT.DINV.CD.DT","YR2009","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BWA","BX.KLT.DINV.CD.DT","YR2009","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BWA","BX.PEF.TOTL.CD.DT","YR2009","Country data.",
"CAF","DT.DFR.DPPG.CD","YR2007","Data include the effects of Enhanced HIPC Initiative.  ",
"CAF","DT.DFR.DPPG.CD","YR2008","Data include the effects of Enhanced HIPC Initiative.  ",
"CAF","DT.DOD.DECT.CD","YR2007","Data include the effects of Enhanced HIPC Initiative, and Paris Club debt restructuring agreement.",
"CAF","DT.DOD.DECT.CD","YR2008","Data include the effects of Enhanced HIPC Initiative.  ",
"CAF","DT.DOD.DECT.CD","YR2009","Data include the effects of MDRI and HIPC debt relief, and Paris Club debt restructuring agreements.",
"CAF","DT.DFR.DPPG.CD","YR2009","Data include the effects of MDRI and HIPC debt relief. ",
"CAF","BX.KLT.DINV.CD.DT","YR1995","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"CAF","BX.KLT.DINV.CD.DT","YR1996","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"CAF","BX.KLT.DINV.CD.DT","YR1997","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"CAF","BX.KLT.DINV.CD.DT","YR1998","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"CAF","BX.KLT.DINV.CD.DT","YR1999","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"CAF","BX.KLT.DINV.CD.DT","YR2000","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"CAF","BX.KLT.DINV.CD.DT","YR2001","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"CAF","BX.KLT.DINV.CD.DT","YR2002","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"CAF","BX.KLT.DINV.CD.DT","YR2003","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"CAF","BX.KLT.DINV.CD.DT","YR2004","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"CAF","BX.KLT.DINV.CD.DT","YR2005","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"CAF","BX.KLT.DINV.CD.DT","YR2006","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"CAF","BX.KLT.DINV.CD.DT","YR2007","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"CAF","BX.KLT.DINV.CD.DT","YR2008","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"CAF","BX.KLT.DINV.CD.DT","YR2009","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"CAF","BN.CAB.XOKA.CD","YR2009","Gap-filled with countries' balance of payments statistics.",
"CAF","BN.CAB.XOKA.CD","YR2007","Gap-filled with countries' balance of payments statistics.",
"CAF","BN.CAB.XOKA.CD","YR2006","Gap-filled with countries' balance of payments statistics.",
"CAF","BN.CAB.XOKA.CD","YR2005","Gap-filled with countries' balance of payments statistics.",
"CAF","BN.CAB.XOKA.CD","YR2008","Gap-filled with countries' balance of payments statistics.",
"CIV","BM.GSR.TOTL.CD","YR2011","Gap-filled with countries' balance of payments statistics.",
"CIV","BN.CAB.XOKA.CD","YR2011","Gap-filled with countries' balance of payments statistics.",
"CIV","BX.GSR.TOTL.CD","YR2011","Gap-filled with countries' balance of payments statistics.",
"CIV","DT.DOD.DECT.CD","YR2009","Data include the effects of Paris Club debt restructuring agreements.",
"CMR","DT.DFR.DPPG.CD","YR2006","Data include the effects of MDRI.  ",
"CMR","DT.DOD.DECT.CD","YR2006","Data include the effects of MDRI and the Paris Club debt restructuring agreements.",
"COG","DT.DOD.DECT.CD","YR2007","Data include the effects of Enhanced HIPC Initiative and London Club debt restructuring agreement.",
"COG","DT.DOD.DECT.CD","YR2008","Data include the effects of Enhanced HIPC Initiative and Paris Club debt restructuring agreement.",
"COG","DT.DFR.DPPG.CD","YR2007","Data include the effects of Enhanced HIPC Initiative.  ",
"COG","DT.DFR.DPPG.CD","YR2008","Data include the effects of Enhanced HIPC Initiative.  ",
"COG","DT.DFR.DPPG.CD","YR2009","Data include the effects of Enhanced HIPC Initiative.  ",
"COG","DT.DOD.DECT.CD","YR2009","Data include the effects of Enhanced HIPC Initiative.  ",
"COG","BX.KLT.DINV.CD.DT","YR1989","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COG","BX.KLT.DINV.CD.DT","YR1990","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COG","BX.KLT.DINV.CD.DT","YR1991","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COG","BX.KLT.DINV.CD.DT","YR1992","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COG","BX.KLT.DINV.CD.DT","YR1993","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COG","BX.KLT.DINV.CD.DT","YR1994","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COG","BX.KLT.DINV.CD.DT","YR2008","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COG","BX.KLT.DINV.CD.DT","YR2009","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COG","DT.DOD.DECT.CD","YR2010","Data include the effects of MDRI and HIPC debt relief. ",
"COM","BX.GSR.TOTL.CD","YR2009","Gap-filled with countries' balance of payments statistics.",
"COM","DT.DOD.DECT.CD","YR2010","Data include the effects of Enhanced HIPC Initiative.  ",
"COM","BN.CAB.XOKA.CD","YR2006","Gap-filled with countries' balance of payments statistics.",
"COM","BX.GSR.TOTL.CD","YR2010","Gap-filled with countries' balance of payments statistics.",
"COM","BN.CAB.XOKA.CD","YR2010","Gap-filled with countries' balance of payments statistics.",
"COM","BM.GSR.TOTL.CD","YR2005","Gap-filled with countries' balance of payments statistics.",
"COM","BN.CAB.XOKA.CD","YR2012","Gap-filled with countries' balance of payments statistics.",
"COM","BN.CAB.XOKA.CD","YR2007","Gap-filled with countries' balance of payments statistics.",
"COM","BX.GSR.TOTL.CD","YR2011","Gap-filled with countries' balance of payments statistics.",
"COM","BM.GSR.TOTL.CD","YR2007","Gap-filled with countries' balance of payments statistics.",
"COM","BN.CAB.XOKA.CD","YR2011","Gap-filled with countries' balance of payments statistics.",
"COM","BM.GSR.TOTL.CD","YR2006","Gap-filled with countries' balance of payments statistics.",
"COM","BM.GSR.TOTL.CD","YR2010","Gap-filled with countries' balance of payments statistics.",
"COM","BN.CAB.XOKA.CD","YR2005","Gap-filled with countries' balance of payments statistics.",
"COM","BM.GSR.TOTL.CD","YR2012","Gap-filled with countries' balance of payments statistics.",
"COM","BX.GSR.TOTL.CD","YR2007","Gap-filled with countries' balance of payments statistics.",
"COM","BX.GSR.TOTL.CD","YR2012","Gap-filled with countries' balance of payments statistics.",
"COM","BM.GSR.TOTL.CD","YR2008","Gap-filled with countries' balance of payments statistics.",
"COM","BN.CAB.XOKA.CD","YR2009","Gap-filled with countries' balance of payments statistics.",
"COM","BM.GSR.TOTL.CD","YR2011","Gap-filled with countries' balance of payments statistics.",
"COM","BX.GSR.TOTL.CD","YR2006","Gap-filled with countries' balance of payments statistics.",
"COM","BX.GSR.TOTL.CD","YR2008","Gap-filled with countries' balance of payments statistics.",
"COM","BM.GSR.TOTL.CD","YR2009","Gap-filled with countries' balance of payments statistics.",
"COM","BX.GSR.TOTL.CD","YR2005","Gap-filled with countries' balance of payments statistics.",
"COM","BN.CAB.XOKA.CD","YR2008","Gap-filled with countries' balance of payments statistics.",
"COM","BX.KLT.DINV.CD.DT","YR1982","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COM","BX.KLT.DINV.CD.DT","YR1996","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COM","BX.KLT.DINV.CD.DT","YR1997","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COM","BX.KLT.DINV.CD.DT","YR1998","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COM","BX.KLT.DINV.CD.DT","YR1999","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COM","BX.KLT.DINV.CD.DT","YR2000","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COM","BX.KLT.DINV.CD.DT","YR2001","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COM","BX.KLT.DINV.CD.DT","YR2002","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COM","BX.KLT.DINV.CD.DT","YR2003","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COM","BX.KLT.DINV.CD.DT","YR2004","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COM","BX.KLT.DINV.CD.DT","YR2005","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COM","BX.KLT.DINV.CD.DT","YR2006","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COM","BX.KLT.DINV.CD.DT","YR2007","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COM","BX.KLT.DINV.CD.DT","YR2008","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"COM","BX.KLT.DINV.CD.DT","YR2009","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"CPV","BX.KLT.DINV.CD.DT","YR2009","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"DJI","BX.KLT.DINV.CD.DT","YR2009","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"DJI","DT.DOD.DECT.CD","YR2008","Data include the effects of Paris Club debt restructuring agreement.",
"DMA","BX.KLT.DINV.CD.DT","YR1977","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"DMA","BX.KLT.DINV.CD.DT","YR1981","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"DOM","DT.DOD.DECT.CD","YR2005","Data include the effects of Paris Club debt restructuring agreement.",
"DZA","BX.KLT.DINV.CD.DT","YR1970","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"DZA","BX.KLT.DINV.CD.DT","YR1971","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"DZA","BX.KLT.DINV.CD.DT","YR1972","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"DZA","BX.KLT.DINV.CD.DT","YR1973","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"DZA","BX.KLT.DINV.CD.DT","YR1974","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"DZA","BX.KLT.DINV.CD.DT","YR1975","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"DZA","BX.KLT.DINV.CD.DT","YR1976","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
